name,url,price,img,brand,code
Style Fiesta,http://www.koovs.com/style-fiesta-statement-belt_456-91491.html,699,http://images.koovscdn.com/uploads/products/91491_5ad4d12b0461dd5efdc2c19b8c3957d8_image1_zoom.jpg,Style Fiesta,91491
Style Fiesta,http://www.koovs.com/style-fiesta-bow-tie-belt-87938.html,699,http://images.koovscdn.com/uploads/products/87938_a6bada9182baa5e6389285289b8dd4b2_image1_zoom.jpg,Style Fiesta,87938
Style Fiesta,http://www.koovs.com/style-fiesta-jigglypuff-iphone-case-83274.html,349,http://images.koovscdn.com/uploads/products/83274_0d6383f90de22ada5e66abce3dcef617_image1_zoom.jpg,Style Fiesta,83274
Style Fiesta,http://www.koovs.com/style-fiesta-pin-up-corsage-83280.html,279,http://images.koovscdn.com/uploads/products/83280_e24e2c5fc9d5fe438c756cc678a9e584_image1_zoom.jpg,Style Fiesta,83280
Style Fiesta,http://www.koovs.com/style-fiesta-set-of-4-rings_323-85731.html,299,http://images.koovscdn.com/uploads/products/85731_dd2746b70165784d17414bbac849c91f_image1_zoom.jpg,Style Fiesta,85731
Style Fiesta,http://www.koovs.com/style-fiesta-bandana-scarf-85912.html,399,http://images.koovscdn.com/uploads/products/85912_4ff0b10d566289598a9b520131ac977a_image1_zoom.jpg,Style Fiesta,85912
Style Fiesta,http://www.koovs.com/style-fiesta-buckle-choker-85909.html,349,http://images.koovscdn.com/uploads/products/85909_33530cdef5b532345bf00efea8088716_image1_zoom.jpg,Style Fiesta,85909
Style Fiesta,http://www.koovs.com/style-fiesta-statement-earring_304-90069.html,599,http://images.koovscdn.com/uploads/products/90069_a31d1c001053c2cd415c29fc05771cb6_image1_zoom.jpg,Style Fiesta,90069
Truffle Collection,http://www.koovs.com/truffle-collection-studded-pool-sliders-92325.html,1299,http://images.koovscdn.com/uploads/products/92325_c3f02c0a7ceb3c591f92a7319c91f9aa_image1_zoom.jpg,Truffle Collection,92325
Truffle Collection,http://www.koovs.com/truffle-collection-flat-mules-93487.html,1999,http://images.koovscdn.com/uploads/products/93487_ba9fb2d43b54adfc24f2b321b12cf259_image1_zoom.jpg,Truffle Collection,93487
Truffle Collection,http://www.koovs.com/truffle-collection-trainers-with-jute-sole-detail-92330.html,3199,http://images.koovscdn.com/uploads/products/92330_6685cb30d0acf8d036faad44b9a06a59_image1_zoom.jpg,Truffle Collection,92330
Truffle Collection,http://www.koovs.com/truffle-collection-flatform-sandals-93489.html,3699,http://images.koovscdn.com/uploads/products/93489_299dd4bbd9a9c2404d92cf773e11d3a8_image1_zoom.jpg,Truffle Collection,93489
Truffle Collection,http://www.koovs.com/truffle-collection-flatform-sandals-93489.html,3699,http://images.koovscdn.com/uploads/products/93489_f862f10ea08fbee3bfc1efd4bf20e94a_image1_zoom.jpg,Truffle Collection,93489
Truffle Collection,http://www.koovs.com/truffle-collection-trainers-with-jute-sole-detail-92330.html,3199,http://images.koovscdn.com/uploads/products/92330_f77f5b301b775ef6241896a766a8b901_image1_zoom.jpg,Truffle Collection,92330
Truffle Collection,http://www.koovs.com/truffle-colllection-stud-and-eyelet-detail-thong-sandals-93488.html,2399,http://images.koovscdn.com/uploads/products/93488_b9f6a8c02a61e2b65162a7730bcadce2_image1_zoom.jpg,Truffle Collection,93488
Style Fiesta,http://www.koovs.com/style-fiesta-earrings-e728-82278.html,599,http://images.koovscdn.com/uploads/products/82278_1d3bce3b5551b61a7bed0a16a1001aad_image1_zoom.jpg,Style Fiesta,82278
Truffle Collection,http://www.koovs.com/truffle-collection-flat-mules-93487.html,1999,http://images.koovscdn.com/uploads/products/93487_360364c3fc2e53319c9b9b91584545a3_image1_zoom.jpg,Truffle Collection,93487
Truffle Collection,http://www.koovs.com/truffle-collection-star-print-shoes-92329.html,3099,http://images.koovscdn.com/uploads/products/92329_f3aa0916bd3b37acfbf8ba79573a99bc_image1_zoom.jpg,Truffle Collection,92329
Truffle Collection,http://www.koovs.com/truffle-collection-glitter-pumps-92336.html,2899,http://images.koovscdn.com/uploads/products/92336_c17caafdac5ac8887a676cb8e1f75184_image1_zoom.jpg,Truffle Collection,92336
Truffle Collection,http://www.koovs.com/truffle-colllection-stud-and-eyelet-detail-thong-sandals-93488.html,2399,http://images.koovscdn.com/uploads/products/93488_c03b77a64526619f6e85bea26fe799c2_image1_zoom.jpg,Truffle Collection,93488
Truffle Collection,http://www.koovs.com/truffle-collection-studded-pool-sliders-92325.html,1299,http://images.koovscdn.com/uploads/products/92325_9773400a730e4d1c0bb8f11676e38199_image1_zoom.jpg,Truffle Collection,92325
Truffle Collection,http://www.koovs.com/truffle-collection-cross-strap-flats-92327.html,2999,http://images.koovscdn.com/uploads/products/92327_1ab341b89d8080faf429407bbb231525_image1_zoom.jpg,Truffle Collection,92327
Truffle Collection,http://www.koovs.com/truffle-collection-denim-trainers-93490.html,1499,http://images.koovscdn.com/uploads/products/93490_b041b6aa2ee62b80e6dbd934f5ce41af_image1_zoom.jpg,Truffle Collection,93490
Truffle Collection,http://www.koovs.com/truffle-collection-embellished-trainers-93492.html,2299,http://images.koovscdn.com/uploads/products/93492_07c59226444600d4e59ec8946cf6c8d6_image1_zoom.jpg,Truffle Collection,93492
